5000 2310202
1200 1240 0.843246
1200 1240 1
150 155 1
750 775 1
180 162 1
150 155 1
30 27 1
300 270 1
150 135 1
30 27 1
600 620 1
300 310 1
150 155 1
180 162 1
60 54 1
240 216 1
1500 1550 1
210 189 1
600 620 1
90 81 1
1500 1550 1
300 310 0.921189
150 135 1
300 310 0.741981
180 162 1
210 189 1
150 135 1
150 155 1
120 108 1
150 135 1
600 620 1
900 930 1
150 135 1
750 775 0.830426
210 189 1
150 135 1
120 108 1
120 108 1
90 81 1
240 216 1
30 27 1
150 135 0.809917
30 27 1
1200 1240 0.715107
300 310 1
1050 1085 1
150 135 1
1350 1395 1
240 216 1
60 54 1
90 81 1
1200 1240 1
1350 1395 1
300 310 1
300 310 1
150 135 1
120 108 1
120 108 1
300 270 0.825527
600 620 1
150 155 1
180 162 1
1500 1550 1
180 162 1
240 216 1
150 135 1
270 243 1
300 310 0.832253
150 135 1
210 189 0.75693
180 162 1
30 27 1
1050 1085 1
1350 1395 1
450 465 1
1500 1550 1
450 465 1
30 27 1
150 155 0.963913
240 216 1
180 162 0.79688
750 775 1
600 620 0.82203
150 135 1
750 775 1
270 243 1
90 81 1
180 162 1
210 189 1
270 243 1
150 155 1
1200 1240 1
180 162 1
750 775 1
450 465 1
60 54 1
150 155 1
180 162 1
1200 1240 0.63291
180 162 1
210 189 1
30 27 1
180 162 1
1050 1085 1
150 155 1
210 189 1
150 135 1
1050 1085 1
240 216 1
1200 1240 1
300 310 1
1350 1395 1
1500 1550 1
120 108 1
60 54 1
120 108 1
150 155 1
120 108 1
1500 1550 1
600 620 1
90 81 1
900 930 0.970055
150 135 1
210 189 1
450 465 1
120 108 1
150 135 0.943197
300 270 1
1500 1550 1
150 135 1
240 216 1
210 189 1
300 270 1
120 108 1
60 54 1
60 54 1
1350 1395 1
150 135 1
30 27 1
1050 1085 1
210 189 0.690092
750 775 1
180 162 1
1350 1395 1
270 243 1
1350 1395 1
300 310 1
210 189 1
900 930 1
270 243 1
150 155 0.941578
60 54 1
180 162 1
60 54 1
450 465 1
210 189 1
1200 1240 1
300 310 1
300 310 1
1050 1085 1
1500 1550 1
900 930 1
300 310 1
150 155 1
210 189 1
240 216 1
270 243 1
150 135 1
180 162 1
1200 1240 1
1500 1550 1
180 162 1
1050 1085 1
900 930 1
1350 1395 1
150 135 1
450 465 1
1500 1550 1
450 465 1
150 135 1
300 270 1
150 155 1
150 135 1
240 216 1
270 243 1
1200 1240 1
450 465 0.632636
1500 1550 0.716245
180 162 1
270 243 1
240 216 1
300 270 1
600 620 1
1200 1240 1
270 243 1
180 162 1
180 162 1
1350 1395 1
30 27 1
300 310 1
1200 1240 1
1050 1085 1
150 155 0.890892
270 243 0.790017
1200 1240 0.921957
210 189 1
30 27 1
1350 1395 1
120 108 1
300 310 1
180 162 1
900 930 1
180 162 1
1350 1395 1
1500 1550 1
30 27 1
270 243 1
150 155 1
1350 1395 1
1050 1085 1
60 54 0.915282
210 189 1
270 243 1
300 270 0.737306
900 930 1
150 155 1
1500 1550 1
1200 1240 0.777068
300 270 1
150 155 1
1050 1085 1
210 189 1
210 189 1
900 930 1
150 135 1
300 270 1
1350 1395 1
1200 1240 1
1500 1550 1
240 216 1
270 243 1
150 155 1
240 216 0.676799
900 930 1
60 54 1
30 27 0.841297
150 155 1
900 930 1
600 620 1
1200 1240 1
1200 1240 1
240 216 1
1050 1085 1
120 108 1
900 930 1
150 135 1
120 108 1
90 81 1
90 81 1
1050 1085 1
240 216 1
1200 1240 1
450 465 1
450 465 0.790013
600 620 1
180 162 1
300 310 1
270 243 1
90 81 1
1050 1085 1
270 243 1
180 162 1
1050 1085 1
240 216 1
150 155 1
240 216 1
210 189 1
1200 1240 1
1500 1550 1
60 54 1
900 930 1
1500 1550 0.890326
300 270 1
210 189 1
1350 1395 1
240 216 1
750 775 1
900 930 1
150 135 0.901702
210 189 1
750 775 1
240 216 1
240 216 1
150 155 1
600 620 1
90 81 1
240 216 0.923186
300 310 1
240 216 1
150 135 1
900 930 1
60 54 1
60 54 1
300 310 1
600 620 1
150 135 1
600 620 1
240 216 1
1200 1240 1
300 310 1
180 162 1
270 243 1
180 162 0.869268
300 310 1
450 465 1
750 775 1
60 54 1
240 216 1
450 465 1
300 270 1
1050 1085 1
450 465 1
180 162 1
240 216 1
150 135 1
1500 1550 1
180 162 1
150 135 1
90 81 1
270 243 1
60 54 1
180 162 1
240 216 1
30 27 1
600 620 1
750 775 1
60 54 1
900 930 1
450 465 1
300 270 1
30 27 1
240 216 1
270 243 1
1050 1085 1
1200 1240 1
300 270 1
60 54 1
900 930 1
150 135 1
120 108 1
120 108 1
150 135 1
120 108 1
180 162 1
150 135 1
150 155 1
60 54 1
90 81 1
300 310 1
1200 1240 1
450 465 1
300 310 1
120 108 1
120 108 1
240 216 1
750 775 1
30 27 1
900 930 1
600 620 1
270 243 1
750 775 1
180 162 1
1500 1550 1
240 216 1
270 243 1
300 270 1
150 135 0.937632
450 465 1
1350 1395 0.83017
120 108 1
600 620 1
1200 1240 1
270 243 1
120 108 1
1350 1395 1
120 108 1
1050 1085 1
1350 1395 1
90 81 1
600 620 1
900 930 1
450 465 0.916581
750 775 0.872709
450 465 1
600 620 1
30 27 1
270 243 1
1500 1550 1
60 54 1
900 930 1
600 620 1
60 54 1
1200 1240 1
1050 1085 1
900 930 1
300 310 1
600 620 1
750 775 1
210 189 1
300 270 1
90 81 1
120 108 1
1200 1240 1
120 108 1
900 930 1
180 162 0.889492
90 81 1
1200 1240 1
1200 1240 1
150 135 1
240 216 1
270 243 1
60 54 1
750 775 1
1350 1395 1
1350 1395 1
60 54 1
750 775 1
1050 1085 1
120 108 1
30 27 1
150 155 1
300 310 1
150 135 1
750 775 1
1050 1085 1
900 930 1
30 27 0.845034
600 620 1
900 930 1
300 310 1
240 216 1
900 930 1
1200 1240 1
180 162 1
1500 1550 1
1500 1550 1
1350 1395 1
300 270 1
150 155 1
180 162 1
180 162 1
600 620 1
1050 1085 1
600 620 1
210 189 1
300 310 1
1350 1395 0.819797
300 310 1
750 775 1
1050 1085 0.797425
120 108 1
150 135 1
30 27 1
1500 1550 1
210 189 1
300 310 1
300 310 1
60 54 1
90 81 1
1050 1085 1
90 81 1
1050 1085 1
120 108 1
450 465 1
240 216 1
300 270 1
240 216 1
300 310 1
1500 1550 0.863123
600 620 1
1050 1085 1
60 54 1
1200 1240 1
1200 1240 0.879153
900 930 1
600 620 0.992114
1050 1085 1
750 775 1
900 930 1
1350 1395 1
900 930 1
300 270 1
150 135 1
750 775 1
1050 1085 1
300 270 1
210 189 1
60 54 1
450 465 1
30 27 1
1200 1240 1
750 775 0.785115
450 465 1
750 775 1
240 216 1
60 54 1
210 189 1
450 465 1
900 930 0.893609
120 108 1
1500 1550 1
1200 1240 1
150 135 1
120 108 1
1500 1550 1
120 108 1
240 216 1
900 930 1
150 155 1
900 930 1
210 189 1
90 81 1
600 620 0.957445
300 270 1
90 81 1
1350 1395 1
210 189 1
300 310 1
750 775 1
30 27 1
300 270 1
120 108 1
900 930 1
180 162 1
210 189 1
600 620 1
150 135 1
240 216 1
450 465 1
210 189 1
450 465 1
300 270 1
150 155 1
1500 1550 1
1500 1550 1
300 270 0.605471
90 81 0.75996
1200 1240 1
750 775 1
120 108 1
60 54 1
270 243 1
450 465 1
60 54 1
750 775 1
450 465 1
30 27 1
90 81 1
1350 1395 0.938724
240 216 1
90 81 1
900 930 1
270 243 1
1350 1395 1
450 465 1
240 216 1
60 54 1
