5000 991240
786 1059 0.01983
142 493 0.042596
921 1122 0.018717
989 1150 0.018261
831 1081 0.019426
366 768 0.027344
330 733 0.028649
419 816 0.025735
935 1128 0.018617
379 780 0.026923
683 1003 0.020937
957 1137 0.01847
277 677 0.031019
906 1116 0.018817
381 782 0.026854
130 472 0.044492
855 1093 0.019213
31 233 0.090129
797 1065 0.019718
514 892 0.023543
796 1064 0.019737
325 728 0.028846
57 316 0.066456
661 990 0.021212
4 84 0.25
329 732 0.028689
861 1095 0.019178
30 230 0.091304
683 1003 0.020937
504 884 0.023756
835 1083 0.019391
43 274 0.076642
924 1123 0.0187
220 607 0.034596
826 1079 0.019462
526 901 0.023307
582 940 0.02234
54 307 0.068404
683 1003 0.020937
797 1065 0.019718
945 1132 0.018551
844 1088 0.019301
955 1136 0.018486
362 765 0.027451
706 1016 0.020669
941 1131 0.018568
684 1004 0.020916
956 1137 0.01847
812 1072 0.01959
195 574 0.036585
76 364 0.057692
463 853 0.024619
444 837 0.02509
384 785 0.026752
961 1139 0.018437
745 1038 0.020231
134 479 0.043841
252 647 0.032457
703 1014 0.02071
315 718 0.029248
909 1117 0.0188
599 951 0.022082
642 978 0.021472
170 537 0.039106
352 755 0.027815
273 672 0.03125
292 693 0.030303
634 973 0.021583
245 639 0.032864
742 1036 0.02027
353 756 0.027778
905 1115 0.018834
902 1114 0.018851
574 934 0.022484
162 525 0.04
943 1131 0.018568
967 1141 0.018405
943 1131 0.018568
84 382 0.054974
489 873 0.024055
834 1083 0.019391
991 1151 0.018245
612 959 0.021898
403 802 0.026185
651 984 0.021341
343 746 0.02815
881 1105 0.019005
788 1060 0.019811
137 484 0.043388
844 1088 0.019301
868 1099 0.019108
322 725 0.028966
702 1014 0.02071
862 1096 0.019161
421 818 0.025672
909 1117 0.0188
623 966 0.021739
405 804 0.026119
40 265 0.079245
886 1107 0.01897
30 230 0.091304
114 443 0.047404
214 600 0.035
773 1052 0.019962
924 1123 0.0187
258 655 0.032061
625 968 0.021694
802 1067 0.019681
458 849 0.024735
274 673 0.031204
460 850 0.024706
679 1001 0.020979
672 996 0.021084
80 373 0.0563
512 890 0.023596
176 546 0.038462
83 380 0.055263
32 237 0.088608
71 352 0.059659
857 1094 0.019196
619 964 0.021784
173 542 0.038745
575 935 0.02246
636 975 0.021538
551 919 0.022851
623 966 0.021739
214 600 0.035
774 1053 0.019943
429 825 0.025455
768 1050 0.02
844 1088 0.019301
417 814 0.025799
107 430 0.048837
728 1028 0.020428
444 837 0.02509
867 1098 0.019126
993 1151 0.018245
697 1011 0.020772
779 1056 0.019886
737 1033 0.020329
479 865 0.024277
802 1067 0.019681
649 983 0.021363
128 469 0.044776
624 967 0.021717
101 418 0.050239
474 861 0.02439
942 1131 0.018568
572 933 0.022508
129 471 0.044586
883 1106 0.018987
6 103 0.203883
469 857 0.024504
411 809 0.025958
819 1076 0.019517
117 449 0.046771
412 810 0.025926
286 687 0.030568
85 384 0.054688
769 1050 0.02
67 342 0.061404
829 1080 0.019444
837 1084 0.019373
915 1120 0.01875
71 352 0.059659
794 1063 0.019755
96 408 0.051471
65 337 0.062315
767 1049 0.020019
735 1032 0.020349
383 784 0.026786
485 870 0.024138
269 667 0.031484
522 898 0.023385
818 1075 0.019535
622 966 0.021739
132 476 0.044118
333 736 0.028533
