100 100000
1800 1642 1
1800 1525 1
1800 1999 1
1800 1713 1
1800 1471 1
1800 1842 1
1800 1648 1
1800 2160 0.270139
1800 1754 0.332668
1800 1720 0.339244
1800 1478 1
1800 2142 0.272409
1800 2325 0.250968
1800 1784 0.327074
1800 1767 1
1800 1842 0.316775
1800 1735 1
1800 1827 0.319376
1800 1512 1
1800 1995 1
1800 1699 0.343437
1800 1691 1
1800 1357 1
1800 1703 1
1800 1715 0.340233
1800 1289 1
1800 1813 0.321842
1800 1892 0.308404
1800 2135 0.273302
1800 2327 0.250752
1800 1560 1
1800 2146 0.271901
1800 1628 1
1800 1645 0.354711
1800 1907 0.305978
1800 1789 1
1800 1702 0.342832
1800 2024 1
1800 1674 1
1800 1750 1
1800 1835 1
1800 2046 1
1800 1582 0.368837
1800 1942 1
1800 1897 0.307591
1800 2080 1
1800 1937 1
1800 1561 0.373799
1800 1895 0.307916
1800 1954 1
1800 1579 1
1800 1590 0.366981
1800 1856 1
1800 1910 1
1800 1707 0.341828
1800 1879 0.310538
1800 1919 1
1800 1786 1
1800 1472 1
1800 1803 0.323627
1800 2091 0.279053
1800 1663 1
1800 1358 0.429676
1800 1592 1
1800 2008 1
1800 1783 0.327257
1800 1909 0.305657
1800 1952 1
1800 2078 0.280799
1800 1865 0.312869
1800 2012 0.29001
1800 1810 1
1800 1603 1
1800 1702 0.342832
1800 1579 0.369538
1800 1317 1
1800 2116 0.275756
1800 1805 1
1800 1471 1
1800 1610 1
1800 2004 1
1800 1639 0.35601
1800 1981 1
1800 2174 0.268399
1800 1724 1
1800 1167 1
1800 1598 0.365144
1800 1591 0.36675
1800 1959 1
1800 1611 0.362197
1800 1738 1
1800 1661 1
1800 1528 1
1800 1882 0.310043
1800 2278 1
1800 1778 0.328178
1800 1858 0.314047
1800 2001 1
1800 2083 0.280125
1800 1752 0.333048
