100 10000
160 174 0.626437
160 148 0.736486
160 126 0.865079
160 176 0.619318
160 149 0.731544
160 138 0.789855
160 129 0.844961
160 177 0.615819
160 155 0.703226
160 166 0.656627
160 167 0.652695
160 155 0.703226
160 181 0.60221
160 171 0.637427
160 206 0.529126
160 177 0.615819
160 156 0.698718
160 180 0.605556
160 184 0.592391
160 150 0.726667
160 153 0.712418
160 163 0.668712
160 178 0.61236
160 159 0.685535
160 162 0.67284
160 156 0.698718
160 122 0.893443
160 194 0.561856
160 142 0.767606
160 177 0.615819
160 156 0.698718
160 143 0.762238
160 160 0.68125
160 148 0.736486
160 192 0.567708
160 135 0.807407
160 138 0.789855
160 178 0.61236
160 140 0.778571
160 170 0.641176
160 153 0.712418
160 141 0.77305
160 185 0.589189
160 158 0.689873
160 140 0.778571
160 155 0.703226
160 182 0.598901
160 174 0.626437
160 130 0.838462
160 127 0.858268
160 138 0.789855
160 180 0.605556
160 165 0.660606
160 198 0.550505
160 121 0.900826
160 177 0.615819
160 163 0.668712
160 183 0.595628
160 153 0.712418
160 142 0.767606
160 157 0.694268
160 156 0.698718
160 174 0.626437
160 176 0.619318
160 182 0.598901
160 168 0.64881
160 170 0.641176
160 168 0.64881
160 130 0.838462
160 203 0.536946
160 155 0.703226
160 164 0.664634
160 159 0.685535
160 191 0.570681
160 173 0.630058
160 165 0.660606
160 140 0.778571
160 156 0.698718
160 141 0.77305
160 155 0.703226
160 157 0.694268
160 137 0.79562
160 144 0.756944
160 150 0.726667
160 161 0.677019
160 168 0.64881
160 164 0.664634
160 146 0.746575
160 174 0.626437
160 194 0.561856
160 167 0.652695
160 167 0.652695
160 153 0.712418
160 109 1.0
160 174 0.626437
160 166 0.656627
160 147 0.741497
160 198 0.550505
160 161 0.677019
160 172 0.633721
