500 100000
320 318 0.34434
320 386 0.283679
320 320 1
320 322 1
320 353 0.310198
320 253 1
320 370 1
320 297 1
320 348 0.314655
320 300 0.365
320 328 0.333841
320 350 1
320 338 1
320 359 0.305014
320 312 0.350962
320 276 0.396739
320 294 1
320 335 1
320 354 0.309322
320 299 0.366221
320 313 0.34984
320 347 0.315562
320 328 1
320 338 1
320 317 1
320 310 0.353226
320 337 0.324926
320 309 0.354369
320 266 0.411654
320 301 1
320 347 1
320 316 1
320 339 0.323009
320 370 1
320 270 1
320 347 0.315562
320 374 1
320 386 1
320 264 1
320 339 1
320 412 0.265777
320 405 1
320 277 0.395307
320 293 1
320 283 0.386926
320 316 0.346519
320 381 0.287402
320 319 1
320 331 0.330816
320 326 0.33589
320 390 0.280769
320 274 1
320 318 0.34434
320 361 0.303324
320 347 1
320 222 1
320 304 1
320 314 1
320 334 0.327844
320 357 0.306723
320 354 1
320 308 1
320 344 0.318314
320 342 0.320175
320 322 1
320 295 1
320 365 1
320 315 0.347619
320 368 1
320 374 0.292781
320 348 0.314655
320 319 0.34326
320 309 1
320 390 0.280769
320 340 1
320 376 1
320 308 0.355519
320 353 0.310198
320 358 0.305866
320 425 1
320 429 0.255245
320 357 1
320 322 0.340062
320 334 1
320 358 1
320 346 1
320 285 0.384211
320 296 0.369932
320 327 1
320 322 1
320 329 0.332827
320 287 0.381533
320 279 1
320 342 0.320175
320 319 0.34326
320 291 0.376289
320 384 1
320 384 0.285156
320 361 1
320 334 1
320 363 0.301653
320 340 0.322059
320 350 1
320 325 0.336923
320 288 1
320 353 1
320 278 1
320 317 0.345426
320 267 1
320 290 0.377586
320 313 0.34984
320 355 0.308451
320 341 0.321114
320 324 1
320 317 1
320 329 1
320 346 0.316474
320 252 0.434524
320 293 0.37372
320 235 1
320 326 1
320 362 1
320 411 1
320 345 1
320 425 1
320 301 0.363787
320 324 0.337963
320 311 0.35209
320 229 1
320 329 1
320 321 0.341121
320 304 0.360197
320 281 0.38968
320 284 1
320 266 0.411654
320 330 0.331818
320 324 1
320 336 0.325893
320 279 0.392473
320 420 1
320 379 0.288918
320 358 0.305866
320 315 0.347619
320 314 1
320 321 1
320 319 1
320 330 1
320 324 0.337963
320 386 0.283679
320 343 1
320 304 1
320 257 0.42607
320 328 1
320 332 0.329819
320 294 1
320 308 1
320 311 1
320 268 0.408582
320 309 0.354369
320 327 1
320 318 0.34434
320 277 0.395307
320 321 1
320 268 1
